Okate Life,"03 May, 2019",,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/okate-life-et00101720-29-04-2019-01-52-48.jpg,Okate Life is a Telugu movie starring Jithan Ramesh and Shruti Yugal in prominent roles. It is a drama directed by M Venkat.,https://www.imdb.com/videoplayer/vi4015438617?playlistId=tt5536610&ref_=tt_ov_vi,N/A,0,1
Romeo Akbar Walter,"05 Apr, 2019",UA ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/romeo-akbar-walter-et00055220-27-03-2017-12-51-54.jpg,"Romeo Akbar Walter (RAW) is a spy thriller that is set against the backdrop of the Indo-Pakistani War of 1971. The film, which is inspired by true events, is directed by Robby Grewal.",https://www.imdb.com/videoplayer/vi2455747097?playlistId=tt8550208&ref_=tt_ov_vi,N/A,"18,571",1
Hellboy,"12 Apr, 2019",A ,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/hellboy-et00099586-26-03-2019-10-53-05.jpg,"Based on the graphic novels by Mike Mignola, the film follows Hellboy - the beloved son of the Fallen One who is caught between the worlds of the supernatural and human. This time around, his formidable enemy is an ancient sorceress bent on revenge.",https://www.imdb.com/videoplayer/vi3294345753?playlistId=tt2274648&ref_=tt_ov_vi,2 hrs 03 mins,"3,369",1
Devarattam,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/devarattam-et00077125-06-06-2018-12-54-13.jpg,"Devarattam is a Tamil movie starring Gautham Karthik in a prominent role. It is a drama directed by M. Muthaiah, forming part of the crew.",N/A,N/A,1416,0
Abhinetri 2,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/abhinetri-2-et00101298-22-04-2019-08-13-20.jpg,"Abhinetri 2 is a Telugu movie starring Prabhu Deva, Tamannaah Bhatia, Sonu Sood and Nandita Swetha in prominent roles. It is a horror directed by 	A. L. Vijay.",https://www.imdb.com/videoplayer/vi945731609?playlistId=tt6106494&ref_=tt_ov_vi,N/A,1623,0
Kanchana 3 (Kannada),"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/kanchana-3-kannada-et00101700-28-04-2019-03-05-51.jpg,"The fourth installment in the Muni film series has the popular ghost hunter (played by Raghava Lawrence) returning to fight the evil forces: both supernatural and earthly. Written and directed by Raghava, the film also stars Vedhika, Oviya and Nikki Tamboli.",https://www.imdb.com/videoplayer/vi945731609?playlistId=tt6106494&ref_=tt_ov_vi,N/A,380,0
99 (Kannada),"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/99kannada-et00101187-22-04-2019-12-11-35.jpg,"A tale of romance that is at once heartwarming and heartwrenching, 99 follows the story of Ram and Janu, and their shared destiny. Directed by Preetham Gubbi, the film stars Ganesh and Bhavana in the lead roles.",https://www.imdb.com/videoplayer/vi2999696153?playlistId=tt7222598&ref_=tt_ov_vi,N/A,2333,0
Vijayaratha ,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/vijayaratha-et00099887-30-03-2019-05-55-04.jpg,"Vijayaratha is a suspense thriller which follows a guy on a race against time to save a life, even as the world around him starts falling apart. Directed by Ajay Surya, the film stars Vasanth Kalyan and Arpitha Gowda in central roles.",N/A,N/A,390,0
1978 A Teen Night Out,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/1978-et00100940-16-04-2019-02-47-35.jpg,"Set in the 1970s, the film follows seven teenagers who find their lives in jeopardy after getting trapped in a haunted mansion. Directed by Aziz Zee, the horror thriller stars  Yash Rajpara, Apurva  Godbole, Gaurav Sharma and Vaishnavi  Kadam in pivotal roles.",N/A,N/A,2463,0
Hansa Ek Sanyog,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/hansa-ek-sanyog-et00098360-08-03-2019-10-28-34.jpg,The film highlights the struggle of a transgender child for identity in the society and Kinnar community. It also explores their psyche and inner turmoils as they fight for the right to live with dignity.,N/A,N/A,508,0
Gunwali Dulhaniya,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/gunwali-dulhaniya-et00098257-08-03-2019-11-23-37.jpg,"Sharmili, a girl from Lucknow is all set to be married when, on the night of her wedding, she is kidnapped by a goon Bhaiyaji who asks for Rs 5 crore as ransom.",N/A,N/A,605,0
Uglydolls,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/uglydolls-et00088254-12-11-2018-04-03-41.jpg,"Far off in the land of UglyVille lives the UglyDolls, who are far from perfect yet totally awesome. This is the story of these free-spirited dolls, as they confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most.",https://www.imdb.com/videoplayer/vi704560409?playlistId=tt1946502&ref_=tt_ov_vi,N/A,3741,0
K 13,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/k-13-et00099176-18-03-2019-06-03-43.jpg,"K 13 is a Tamil movie starring Shraddha Srinath and Yogi Babu in prominent roles. It is a drama directed by Bharath Neelakantan with Sam C.S. as musician, forming part of the crew.",N/A,N/A,667,0
Lucifer (Tamil),"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/lucifer-2019-et00101782-30-04-2019-02-52-32.jpg,"In God`s own country, the supreme leader of the ruling party dies, leaving a huge vacuum, not only in the electoral and leadership sphere of the party but also that of the state. In the inevitable succession squabble and the power struggle that ensues, the thin line that separates good and bad becomes irrecoverably blurred and out of this seemingly endless mayhem, emerge forces that are hitherto unheard of.",N/A,N/A,31,0
Rangupaduddi,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/rangupaduddi-et00101577-25-04-2019-07-58-08.jpg,"Six people. One haunted bungalow. A long night of terrors. Will they succeed or succumb? Directed by Shyam Prasad, Rangupaduddi is a horror comedy featuring an ensemble cast.",N/A,N/A,37,0
Baalaa,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/balaa-et00100467-09-04-2019-11-40-55.jpg,"Balaa is a Marathi movie starring Upendra Limaye, Kranti Redkar, Vikram Gokhale and Suhasini Mulay in prominent roles. It is a drama directed & written by Sachindra Sharma with Rakesh Singh as producer, forming part of the crew.",N/A,N/A,175,0
Loafers,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/loafers-et00101509-25-04-2019-11-44-35.jpg,"In a reckless pursuit of happiness and instant gratification, a group of youngsters lose their way and fall into the wrong path. Will it be too late before they realise their mistakes?",N/A,N/A,82,0
Gara,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/gara-2019-et00100351-06-04-2019-03-08-38.jpg,"Inspired by the R.K. Narayan story ""An Astrologer`s Day"", Gara revolves around the life of a conman with a dark past who poses as an astrologer to make a living. Directed by K.R. Muralikrishna, Rahman Hassan, Pradeep Aryan, Avanthika Mohan, Johnny Lever and Sadhu Kokila in central roles.",N/A,N/A,402,0
Ombathane Adbutha,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/ombathane-adbutha-et00100356-07-04-2019-02-43-21.jpg,"Three stories are woven together by a series of interconnected events in this suspense thriller. Directed by Santosh Kumar Batageri, the film stars Santhosh, Nayana Sai, Century Gowda and Michael Madhu in pivotal roles.",N/A,N/A,192,0
Ikkayude Shakadam,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/ikkayude-shakadam-et00100937-16-04-2019-02-31-39.jpg,Ikkayude Shakadam is a Malayalam movie starring Appani Sarath and DJ Thommi in prominent roles. It is a drama directed by Prince Avaraachan.,N/A,N/A,785,0
Jind Jaan,"12 Apr, 2019",N/A,//in.bmscdn.com/iedb/movies/images/mobile/thumbnail/xlarge/jind-jaan-et00097474-26-02-2019-03-34-06.jpg,"Jind Jaan is a Punjabi movie starring Rajvir Jawanda, Sara Sharma and Jaswinder Bhalla in prominent roles. It is a drama directed by Darshan Bagga.",N/A,N/A,168,0
